"Designator","Footprint","Comment","JLCPCB Part #"
"R16,R7,R2,R5,R8","R_0402_1005Metric","1k","C11702"
"D12,D1","LED_0603_1608Metric","LED_Green","C72043"
"D3,D9,D5,D7,D4,D6,D8,D10","D_SOD-123","D","C81598"
"D11","SOT-23","BAT54C","C37704"
"R6","R_0402_1005Metric","0.4","C27147"
"R10,R12","R_0402_1005Metric","27","C25092"
"C15,C14,C13,C6,C10,C7,C12,C8,C9,C11,C20,C2","C_0402_1005Metric","0.1u","C1525"
"C22,C17,C5,C21,C4,C16","C_0402_1005Metric","1u","C52923"
"SW1,SW11","SW_SPST_TL3342","SW_Push","C318884"
"C3,C1","C_0402_1005Metric","30p","C1570"
"C19,C23,C18","C_0402_1005Metric","10u","C15525"
"J1","Molex_54548-1071_1x10-1MP_P0.5mm_Horizontal","Conn_01x10_Female","C262659"
"U4","SOT-23","XC6206PxxxMR","C5446"
"R1,R9,R3","R_0402_1005Metric","5.1k","C25905"
"SW6","SW_SPDT_PCM12","SW_Push_SPDT",
"R14,R13","R_0402_1005Metric","470k","C25790"
"R11","R_1206_3216Metric","1k","C4410"
"J2","USB_C_Receptacle_XKB_U262-16XN-4BVC11","USB_C_Receptacle_USB2.0","C319148"
"BZ1","Buzzer_Murata_PKLCS1212E","Buzzer",
"R15","R_0402_1005Metric","10k","C25744"
"Q1","SOT-23","AO3401A","C15127"
"U1","SOIC-8_5.23x5.23mm_P1.27mm","W25Q128JVS","C97521"
"U3","RP2040-QFN-56","RP2040","C2040"
"U2","SOP127P600X175-9N","TP4056","C16581"
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","Crystal_GND24_Small","C9002"
"D2","LED_0603_1608Metric","LED_Red","C72038"