Designator,Mid X,Mid Y,Rotation,Layer
BZ1,70.700000,-44.550000,0.000000,top
C1,52.681094,-41.750018,135.000000,top
C2,46.275000,-41.275000,90.000000,top
C3,56.481094,-38.075018,-45.000000,top
C4,48.350000,-41.275000,90.000000,top
C5,47.308311,-41.275000,90.000000,top
C6,34.225000,-27.624987,90.000000,top
C7,55.300000,-35.100000,180.000000,top
C8,44.240000,-27.970000,135.000000,top
C9,44.965000,-27.245000,135.000000,top
C10,53.775000,-28.400000,45.000000,top
C11,42.800000,-32.900000,135.000000,top
C12,51.275000,-25.900000,45.000000,top
C13,45.425000,-36.675000,-135.000000,top
C14,47.325000,-24.775000,135.000000,top
C15,54.325000,-36.200000,-45.000000,top
C16,46.600000,-25.500000,135.000000,top
C17,48.050000,-24.050000,135.000000,top
C18,34.708317,-25.499988,0.000000,top
C19,39.500000,-18.250000,180.000000,top
C20,52.375000,-27.000000,-135.000000,top
C21,56.000000,-22.325000,0.000000,top
C22,53.750000,-22.325000,0.000000,top
C23,59.500000,-27.325000,180.000000,top
D1,38.850000,-15.750000,90.000000,top
D2,37.250000,-15.750000,90.000000,top
D3,21.249990,-58.791639,180.000000,top
D4,38.249982,-58.791639,180.000000,top
D5,55.249974,-58.791639,180.000000,top
D6,72.249966,-67.999968,180.000000,top
D7,21.249990,-75.791631,180.000000,top
D8,38.249982,-84.999960,180.000000,top
D9,55.249974,-84.999960,180.000000,top
D10,72.249966,-84.999960,180.000000,top
D11,56.666640,-19.833324,-90.000000,top
D12,59.250000,-30.750000,180.000000,top
J1,46.750000,-45.125000,180.000000,top
J2,46.749978,-14.874993,180.000000,top
J3,34.900000,-14.350000,0.000000,top
J4,78.624963,-35.538319,180.000000,top
Q1,62.333304,-19.833324,0.000000,top
R1,48.075000,-20.675000,-90.000000,top
R2,53.497734,-37.500000,-135.000000,top
R3,45.000000,-20.675000,-90.000000,top
R4,34.225000,-34.708317,-90.000000,top
R5,36.000000,-37.250000,0.000000,top
R6,43.975000,-20.675000,-90.000000,top
R7,40.200000,-14.400000,90.000000,top
R8,37.600000,-13.400000,0.000000,top
R9,44.000000,-23.500000,-90.000000,top
R10,47.050000,-20.675000,-90.000000,top
R11,61.200000,-43.975000,90.000000,top
R12,46.025000,-20.675000,-90.000000,top
R13,55.875000,-25.325000,0.000000,top
R14,55.875000,-26.550000,180.000000,top
R15,55.750000,-16.700000,-90.000000,top
R16,56.240000,-30.750000,180.000000,top
SW1,70.833300,-26.208321,180.000000,top
SW6,65.874969,-14.874993,180.000000,top
SW11,70.833300,-33.291651,180.000000,top
U1,37.750000,-31.874985,90.000000,top
U2,39.666648,-23.374989,180.000000,top
U3,48.874977,-31.874985,45.000000,top
U4,59.499972,-24.791655,90.000000,top
Y1,54.543876,-39.876777,45.000000,top